Freq	Power
[Hz]	[dB]
0.000	-52.288
9.766	-55.214
19.531	-90.708
29.297	-97.106
39.062	-91.367
48.828	-93.107
58.594	-96.338
68.359	-92.465
78.125	-92.774
87.891	-93.157
97.656	-104.622
107.422	-99.416
117.187	-99.259
126.953	-101.153
136.719	-96.499
146.484	-98.944
156.250	-99.755
166.016	-95.572
175.781	-97.543
185.547	-94.101
195.312	-90.120
205.078	-90.259
214.844	-99.131
224.609	-100.704
234.375	-100.842
244.141	-96.856
253.906	-91.985
263.672	-100.412
273.437	-97.751
283.203	-94.964
292.969	-100.176
302.734	-111.869
312.500	-99.030
322.266	-93.618
332.031	-93.495
341.797	-97.928
351.562	-107.742
361.328	-101.843
371.094	-94.185
380.859	-91.852
390.625	-97.049
400.391	-100.029
410.156	-97.691
419.922	-95.477
429.687	-92.999
439.453	-91.540
449.219	-91.590
458.984	-96.218
468.750	-100.526
478.516	-94.918
488.281	-84.584
498.047	-77.592
507.812	-80.364
517.578	-94.613
527.344	-102.450
537.109	-99.307
546.875	-103.336
556.641	-93.044
566.406	-95.128
576.172	-90.819
585.937	-90.070
595.703	-93.572
605.469	-98.199
615.234	-102.066
625.000	-93.618
634.766	-94.596
644.531	-100.884
654.297	-106.930
664.062	-101.686
673.828	-103.889
683.594	-105.587
693.359	-98.382
703.125	-94.474
712.891	-101.940
722.656	-98.256
732.422	-98.629
742.187	-95.550
751.953	-105.059
761.719	-99.302
771.484	-105.885
781.250	-94.808
791.016	-93.285
800.781	-101.809
810.547	-110.726
820.312	-99.643
830.078	-107.322
839.844	-95.641
849.609	-107.532
859.375	-95.304
869.141	-97.751
878.906	-93.688
888.672	-95.540
898.437	-92.977
908.203	-92.925
917.969	-99.225
927.734	-104.884
937.500	-92.796
947.266	-91.669
957.031	-90.243
966.797	-92.814
976.562	-93.825
986.328	-93.178
996.094	-78.615
1005.859	-77.341
1015.625	-84.883
1025.391	-90.896
1035.156	-97.665
1044.922	-94.863
1054.687	-104.293
1064.453	-110.764
1074.219	-95.114
1083.984	-103.989
1093.750	-111.093
1103.516	-90.429
1113.281	-91.546
1123.047	-95.346
1132.812	-91.288
1142.578	-96.246
1152.344	-95.640
1162.109	-94.690
1171.875	-95.344
1181.641	-96.557
1191.406	-93.090
1201.172	-98.085
1210.937	-87.990
1220.703	-91.320
1230.469	-96.537
1240.234	-88.566
1250.000	-86.038
1259.766	-92.333
1269.531	-84.590
1279.297	-87.320
1289.062	-83.632
1298.828	-83.604
1308.594	-81.978
1318.359	-79.072
1328.125	-79.724
1337.891	-78.460
1347.656	-75.026
1357.422	-74.233
1367.187	-72.406
1376.953	-70.369
1386.719	-68.187
1396.484	-65.700
1406.250	-63.350
1416.016	-60.150
1425.781	-57.122
1435.547	-53.291
1445.312	-48.994
1455.078	-43.681
1464.844	-37.030
1474.609	-27.849
1484.375	-12.268
1494.141	3.952
1503.906	5.093
1513.672	-6.977
1523.437	-25.532
1533.203	-35.474
1542.969	-42.534
1552.734	-47.994
