Freq	Power
[Hz]	[dB]
0.000	-72.387
1.953	-77.691
3.906	-62.826
5.859	-61.351
7.812	-70.525
9.766	-86.326
11.719	-78.382
13.672	-83.734
15.625	-93.154
17.578	-101.759
19.531	-89.177
21.484	-90.137
23.437	-82.758
25.391	-78.929
27.344	-75.303
29.297	-65.564
31.250	-34.089
33.203	-27.171
35.156	-32.339
37.109	-63.927
39.062	-75.923
41.016	-78.863
42.969	-83.946
44.922	-83.082
46.875	-86.109
48.828	-98.954
50.781	-94.950
52.734	-84.974
54.687	-81.687
56.641	-115.844
58.594	-86.087
60.547	-80.144
62.500	-85.430
64.453	-93.002
66.406	-100.038
68.359	-87.637
70.312	-86.010
72.266	-86.896
74.219	-88.001
76.172	-85.581
78.125	-86.269
80.078	-83.877
82.031	-97.393
83.984	-87.531
85.937	-81.429
87.891	-90.055
89.844	-81.233
91.797	-78.849
93.750	-78.659
95.703	-67.992
97.656	-45.637
99.609	-36.852
101.562	-40.443
103.516	-62.899
105.469	-72.860
107.422	-81.822
109.375	-87.892
111.328	-89.090
113.281	-90.187
115.234	-88.745
117.187	-83.423
119.141	-80.673
121.094	-82.523
123.047	-84.076
125.000	-89.841
126.953	-90.108
128.906	-88.359
130.859	-91.274
132.812	-95.476
134.766	-90.232
136.719	-94.729
138.672	-86.828
140.625	-81.336
142.578	-88.017
144.531	-90.851
146.484	-82.655
148.437	-90.179
150.391	-87.518
152.344	-90.857
154.297	-91.225
156.250	-81.027
158.203	-83.999
160.156	-77.118
162.109	-71.246
164.062	-52.465
166.016	-41.620
167.969	-43.691
169.922	-61.349
171.875	-72.833
173.828	-83.787
175.781	-91.901
177.734	-82.772
179.687	-88.911
181.641	-86.889
183.594	-98.119
185.547	-81.261
187.500	-84.290
189.453	-89.746
191.406	-86.687
193.359	-90.882
195.312	-86.324
197.266	-91.550
199.219	-87.181
201.172	-91.935
203.125	-83.149
205.078	-87.649
207.031	-87.435
208.984	-89.908
210.937	-83.271
212.891	-84.703
214.844	-83.562
216.797	-82.767
218.750	-88.451
220.703	-97.222
222.656	-81.896
224.609	-83.356
226.562	-75.866
228.516	-76.251
230.469	-58.443
232.422	-45.008
234.375	-45.583
236.328	-59.548
238.281	-76.313
240.234	-80.920
242.187	-88.873
244.141	-86.728
246.094	-88.553
248.047	-83.217
250.000	-98.071
251.953	-90.392
253.906	-96.677
255.859	-82.511
257.812	-89.884
259.766	-95.936
261.719	-85.549
263.672	-93.957
265.625	-84.780
267.578	-83.323
269.531	-82.581
271.484	-85.349
273.437	-86.852
275.391	-89.809
277.344	-88.600
279.297	-84.965
281.250	-96.709
283.203	-82.829
285.156	-89.065
287.109	-88.795
289.062	-86.645
291.016	-89.300
292.969	-78.754
294.922	-77.068
296.875	-64.602
298.828	-47.860
300.781	-46.998
302.734	-58.586
304.687	-76.728
306.641	-87.258
308.594	-84.030
310.547	-92.203
312.500	-91.456
314.453	-88.093
316.406	-82.988
318.359	-89.641
320.312	-89.487
322.266	-88.694
324.219	-93.977
326.172	-86.806
328.125	-88.733
330.078	-77.424
332.031	-80.498
333.984	-89.830
335.937	-91.520
337.891	-91.793
339.844	-86.199
341.797	-101.384
343.750	-86.749
345.703	-100.224
347.656	-85.848
349.609	-85.702
351.562	-102.019
353.516	-81.966
355.469	-90.902
357.422	-88.389
359.375	-74.434
361.328	-77.581
363.281	-70.494
365.234	-50.480
367.187	-48.023
369.141	-57.406
371.094	-78.263
373.047	-83.944
375.000	-91.665
376.953	-93.927
378.906	-80.260
380.859	-86.805
382.812	-90.850
384.766	-89.334
386.719	-90.553
388.672	-85.709
390.625	-89.284
392.578	-95.450
394.531	-91.521
396.484	-81.911
398.437	-84.612
400.391	-85.239
402.344	-83.962
404.297	-87.596
406.250	-86.660
408.203	-104.692
410.156	-89.442
