Time	Ch 0
[s]	[V]
0.168662	-0.620448
0.169329	-0.607951
0.169996	-0.596112
0.170662	-0.583286
0.171329	-0.571447
0.171996	-0.559279
0.172662	-0.547111
0.173329	-0.534285
0.173996	-0.522117
0.174662	-0.509949
0.175329	-0.497781
0.175996	-0.485613
0.176662	-0.472788
0.177329	-0.460948
0.177996	-0.449109
0.178662	-0.436612
0.179329	-0.424444
0.179996	-0.412276
0.180662	-0.399779
0.181329	-0.387282
0.181995	-0.374786
0.182662	-0.362289
0.183329	-0.350121
0.183995	-0.337624
0.184662	-0.325785
0.185329	-0.312630
0.185995	-0.301449
0.186662	-0.288623
0.187329	-0.276126
0.187995	-0.263629
0.188662	-0.250474
0.189329	-0.237977
0.189995	-0.226467
0.190662	-0.213313
0.191329	-0.200816
0.191995	-0.188319
0.192662	-0.176151
0.193328	-0.163654
0.193995	-0.150170
0.194662	-0.139318
0.195328	-0.126163
0.195995	-0.113995
0.196662	-0.101498
0.197328	-0.089001
0.197995	-0.076833
0.198662	-0.063679
0.199328	-0.052168
0.199995	-0.039014
0.200662	-0.026188
0.201328	-0.014349
0.201995	-0.002181
0.202662	0.010316
0.203328	0.023142
0.203995	0.035310
0.204662	0.048135
0.205328	0.060304
0.205995	0.072800
0.206661	0.085297
0.207328	0.097794
0.207995	0.109962
0.208661	0.122459
0.209328	0.134956
0.209995	0.147453
0.210661	0.159292
0.211328	0.171789
0.211995	0.184944
0.212661	0.197112
0.213328	0.209280
0.213995	0.222105
0.214661	0.234602
0.215328	0.246441
0.215995	0.259596
0.216661	0.272093
0.217328	0.284261
0.217995	0.296758
0.218661	0.308597
0.219328	0.320765
0.219994	0.333591
0.220661	0.345759
0.221328	0.357269
0.221994	0.370752
0.222661	0.383249
0.223328	0.394760
0.223994	0.407585
0.224661	0.420082
0.225328	0.432250
0.225994	0.444747
0.226661	0.456257
0.227328	0.468754
0.227994	0.480922
0.228661	0.493419
0.229328	0.505916
0.229994	0.518084
0.230661	0.530910
0.231328	0.543078
0.231994	0.554917
0.232661	0.566756
0.233327	0.579253
0.233994	0.591421
0.234661	0.603589
0.235327	0.615428
0.235994	0.627596
0.236661	0.640093
0.237327	0.651603
0.237994	0.664100
0.238661	0.675611
