Freq	Power
[Hz]	[dB]
3203.125	-85.717
3212.891	-94.954
3222.656	-87.898
3232.422	-89.196
3242.187	-86.871
3251.953	-81.931
3261.719	-77.505
3271.484	-69.236
3281.250	-56.871
3291.016	-25.681
3300.781	-20.684
3310.547	-27.774
3320.312	-59.506
3330.078	-71.026
3339.844	-79.866
3349.609	-85.057
3359.375	-94.951
3369.141	-92.470
3378.906	-102.348
3388.672	-97.447
3398.437	-97.397
3408.203	-90.124
3417.969	-84.860
3427.734	-85.589
3437.500	-79.083
3447.266	-76.128
3457.031	-68.719
3466.797	-62.666
3476.562	-52.472
3486.328	-33.902
3496.094	-21.856
3505.859	-23.016
3515.625	-39.276
3525.391	-54.799
3535.156	-64.220
3544.922	-70.142
3554.687	-75.840
3564.453	-80.110
3574.219	-82.918
3583.984	-85.787
3593.750	-89.210
3603.516	-86.845
3613.281	-90.584
3623.047	-88.495
3632.812	-88.117
3642.578	-82.943
3652.344	-79.915
3662.109	-74.129
3671.875	-66.321
3681.641	-53.346
3691.406	-25.787
3701.172	-21.289
3710.937	-28.935
3720.703	-57.086
3730.469	-68.874
3740.234	-76.422
3750.000	-81.949
3759.766	-94.439
3769.531	-86.064
3779.297	-100.914
3789.062	-92.895
3798.828	-109.175
3808.594	-86.374
3818.359	-90.699
3828.125	-85.818
3837.891	-79.778
3847.656	-76.477
3857.422	-69.738
3867.187	-63.073
3876.953	-52.927
3886.719	-33.491
3896.484	-22.155
3906.250	-23.782
3916.016	-41.091
3925.781	-56.176
3935.547	-64.929
3945.312	-72.429
3955.078	-75.890
3964.844	-81.787
3974.609	-83.403
3984.375	-86.248
3994.141	-89.127
4003.906	-87.568
4013.672	-91.612
4023.437	-86.211
4033.203	-87.234
4042.969	-81.248
4052.734	-78.575
4062.500	-72.549
4072.266	-63.760
4082.031	-50.722
4091.797	-25.753
4101.562	-21.745
4111.328	-29.953
4121.094	-55.821
4130.859	-67.109
4140.625	-75.054
4150.391	-81.148
4160.156	-83.505
4169.922	-100.577
4179.687	-93.863
4189.453	-90.145
4199.219	-96.095
4208.984	-94.716
4218.750	-87.961
4228.516	-87.438
4238.281	-80.391
4248.047	-76.325
4257.812	-71.015
4267.578	-63.664
4277.344	-53.315
4287.109	-32.978
4296.875	-22.318
4306.641	-24.414
4316.406	-42.885
4326.172	-57.487
4335.937	-66.314
4345.703	-72.706
4355.469	-78.287
4365.234	-80.265
4375.000	-87.077
4384.766	-88.671
4394.531	-84.343
4404.297	-95.849
4414.062	-85.000
4423.828	-88.465
4433.594	-84.716
4443.359	-81.940
4453.125	-75.902
4462.891	-70.809
4472.656	-61.792
4482.422	-48.488
4492.187	-25.588
4501.953	-22.067
4511.719	-30.857
4521.484	-54.894
4531.250	-66.217
4541.016	-72.950
4550.781	-80.072
4560.547	-84.016
4570.312	-90.103
4580.078	-96.145
4589.844	-90.811
4599.609	-99.558
4609.375	-94.149
4619.141	-87.708
4628.906	-88.942
4638.672	-82.778
4648.437	-77.392
4658.203	-71.235
4667.969	-64.468
4677.734	-53.719
4687.500	-32.366
4697.266	-22.353
4707.031	-24.922
4716.797	-44.673
4726.562	-58.893
4736.328	-67.685
4746.094	-73.672
4755.859	-79.352
4765.625	-81.273
4775.391	-88.785
4785.156	-85.099
4794.922	-89.338
4804.687	-89.319
4814.453	-88.736
4824.219	-84.791
4833.984	-85.367
4843.750	-79.855
4853.516	-74.630
4863.281	-69.151
4873.047	-60.266
4882.812	-46.544
4892.578	-25.313
4902.344	-22.270
4912.109	-31.659
4921.875	-54.281
4931.641	-65.144
4941.406	-71.906
4951.172	-78.781
4960.937	-83.013
4970.703	-90.305
4980.469	-87.447
4990.234	-95.914
