Freq	Power
[Hz]	[dB]
344.727	-83.142
345.703	-82.264
346.680	-86.743
347.656	-85.577
348.633	-81.794
349.609	-93.364
350.586	-78.999
351.562	-90.184
352.539	-86.235
353.516	-117.894
354.492	-83.690
355.469	-86.519
356.445	-81.037
357.422	-79.844
358.398	-83.112
359.375	-80.312
360.352	-83.917
361.328	-76.665
362.305	-74.341
363.281	-74.150
364.258	-69.219
365.234	-59.108
366.211	-47.123
367.187	-47.832
368.164	-59.888
369.141	-72.294
370.117	-74.214
371.094	-77.416
372.070	-77.892
373.047	-80.991
374.023	-81.510
375.000	-79.197
375.977	-81.695
376.953	-81.662
377.930	-88.062
378.906	-84.471
379.883	-86.508
380.859	-100.720
381.836	-80.575
382.812	-87.904
383.789	-82.083
384.766	-96.507
385.742	-82.068
386.719	-85.888
387.695	-91.661
388.672	-88.015
389.648	-82.908
390.625	-101.999
391.602	-84.676
392.578	-82.410
393.555	-92.774
394.531	-86.095
395.508	-88.262
396.484	-76.986
397.461	-86.238
398.437	-91.108
399.414	-81.523
400.391	-88.043
401.367	-90.781
402.344	-96.833
403.320	-86.108
404.297	-85.507
405.273	-95.364
406.250	-89.598
407.227	-89.925
408.203	-86.879
409.180	-85.147
410.156	-92.603
411.133	-85.649
412.109	-84.787
413.086	-84.080
414.062	-87.301
415.039	-90.529
416.016	-82.647
416.992	-90.349
417.969	-84.135
418.945	-89.166
419.922	-78.935
420.898	-79.966
421.875	-82.999
422.852	-82.961
423.828	-82.507
424.805	-84.980
425.781	-79.871
426.758	-80.830
427.734	-77.725
428.711	-76.798
429.687	-74.575
430.664	-72.456
431.641	-67.294
432.617	-49.331
433.594	-47.239
434.570	-55.493
435.547	-72.399
436.523	-74.164
437.500	-81.683
438.477	-74.900
439.453	-79.437
440.430	-78.436
441.406	-83.744
442.383	-78.884
443.359	-86.449
444.336	-81.597
445.312	-80.980
446.289	-86.164
447.266	-82.470
448.242	-83.807
449.219	-78.334
450.195	-85.181
451.172	-85.938
452.148	-81.402
453.125	-87.444
454.102	-82.508
455.078	-88.424
456.055	-80.974
457.031	-98.203
458.008	-93.505
458.984	-86.601
459.961	-86.623
460.937	-87.119
461.914	-93.609
462.891	-87.363
463.867	-83.389
464.844	-93.985
465.820	-86.758
466.797	-89.460
467.773	-82.694
468.750	-87.989
469.727	-93.991
470.703	-88.677
471.680	-109.640
472.656	-87.048
473.633	-90.740
474.609	-84.472
475.586	-82.544
476.562	-85.610
477.539	-85.970
478.516	-87.229
479.492	-81.778
480.469	-81.108
481.445	-87.502
482.422	-87.696
483.398	-85.129
484.375	-78.861
485.352	-89.185
486.328	-78.050
487.305	-84.430
488.281	-80.359
489.258	-83.708
490.234	-83.603
491.211	-84.061
492.187	-86.902
493.164	-78.039
494.141	-78.283
495.117	-78.018
496.094	-70.981
497.070	-82.702
498.047	-70.945
499.023	-52.429
